"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
2,489334,"Stammen, Craig",2,100,0,0,0,0,0,0.247,0.271,0,1,34.5,-46,2242,92.1,92.55,0,2,0,0.4000000000000057,6.7,130,183,148,156,282,300,301
2,518397,"Alexander, Scott",2,100,0,0,0,0,0,0.146,0.159,0,1,100.4,-21,2170,91.3,92.25,0,1,1,1,5.9,124,143,109,154,290,322,296
2,571670,"Floro, Dylan",2,100,0,0,0,0,0,0.024,0.017,0,1,85.4,35,1878,85.6,85.4,0,1,1,-0.19999999999998863,6.05,125,177,104,159,291,322,296
2,670059,"Holderman, Colin",2,100,0,0,0,0,0,0.913,0.457,0,1,103.6,38,2446,87.5,87.15,1,2,0,-0.29999999999999716,6.3,88,148,95,152,300,327,321
2,664875,"Lawrence, Justin",2,100,0,0,0,0,0.36,0.408,0.101,0,1,75.5,-3,2561,86.6,85.55,0,1,1,-1.0999999999999943,5.85,107,146,108,151,299,325,303
2,502179,"Espino, Paolo",2,100,0,0,0,0,0,0.351,0.383,0,1,94.9,-1,2597,80.6,80.4,0,1,1,-0.19999999999998863,6.55,88,144,137,157,297,316,303
2,542914,"Bass, Anthony",2,100,0,0,0,0,0,0.006,0.006,0,1,73.9,66,2141,90.3,90.95,0,2,0,0.6000000000000085,6.5,89,131,105,145,297,325,308
2,673316,"Barker, Luke",2,100,1,3,,4,2.072,2.008,0.989,1,1,112.4,25,460,81.1,81.3,0,1,1,0.20000000000000284,6.45,126,166,125,154,292,318,298
2,676265,"Abbott, Cory",2,100,0,0,0,0,0,0.016,0.011,0,1,98.6,53,2219,88.6,88.35,0,1,1,-0.29999999999999716,6.2,122,183,154,155,295,325,303
2,670990,"Ramirez, Yohan",2,100,0,0,0,0,0,0.483,0.537,0,1,94.3,8,2305,89.6,90,0,2,0,0.5,6.9,123,180,128,154,297,324,292
2,682171,"Murfee, Penn",2,100,1,0,1,1,0.884,0.206,0.222,1,1,96.5,-10,2409,85.7,85.45,0,2,0,-0.20000000000000284,6.15,130,173,98,154,298,322,314
1,641360,"Bickford, Phil",1,100,1,3,,4,2.072,1.968,0.951,1,1,106.6,28,2467,94.3,94.8,0,1,0,0.5,6.8,122,168,96,156,296,318,303
1,445276,"Jansen, Kenley",1,100,1,3,,4,2.072,2,1,1,1,113.5,28,2238,91.8,93.7,0,1,0,1.9000000000000057,7.4,86,138,116,148,308,341,312
1,517008,"Colomé, Alex",1,100,0,0,0,0,0,0.075,0.079,0,1,84.3,-24,2190,90.5,91.2,0,1,0,0.7000000000000028,6.3,123,149,101,151,324,340,311
1,623485,"Goudeau, Ashton",1,100,,,0,,0,0.698,,0,0,97.6,27,2255,76.5,75.9,0,1,0,-0.5999999999999943,6.1,93,103,95,115,294,333,296
1,666818,"Frías, Luis",1,100,1,0,1,1,0.884,0.657,0.726,1,1,73.1,17,2057,85.4,84.7,0,1,0,-0.7000000000000028,6.1,126,160,152,178,304,326,304
1,665001,"Kelley, Trevor",1,100,1,0,1,1,0.884,0.153,0.154,1,1,83.6,26,2531,80.3,80.7,0,1,0,0.4000000000000057,6.3,129,169,119,157,299,323,300
1,669622,"Bender, Anthony",1,100,0,0,0,0,0,0.072,0.06,0,1,88.7,30,2148,97.5,96.2,0,1,0,-1.2999999999999972,5.9,88,144,149,154,320,349,316
1,656271,"Burke, Brock",1,100,0,0,0,0,0,0.114,0.119,0,1,100.9,-26,2151,94.1,95,0,1,0,0.9000000000000057,7.1,128,165,122,153,289,320,288
1,543521,"McHugh, Collin",1,100,1,1,1,2,1.261,0.658,0.483,1,1,101,22,2458,90.1,91,0,1,0,0.9000000000000057,6.5,127,155,181,115,304,338,326
1,640444,"Crowe, Wil",1,100,0,0,0,0,0,0.471,0.517,0,1,104,3,1764,86.6,86.5,0,1,0,-0.09999999999999432,6.3,119,170,107,155,289,319,301
1,686613,"Brown, Hunter",1,100,0,0,0,0,0,0.102,0.107,0,1,91.2,-30,2250,83.3,83.1,0,1,0,-0.20000000000000284,6.5,87,133,137,142,294,331,306
1,670768,"González, Luis",1,100,0,0,0,0,0,0.24,0.262,0,1,27.6,1,827,46.2,44.3,0,1,0,-1.9000000000000057,4.7,124,143,145,155,297,323,306
1,595881,"Beede, Tyler",1,100,1,0,1,1,0.884,0.63,0.686,1,1,94,10,1799,84.2,84.4,0,1,0,0.20000000000000284,6.5,115,135,110,139,293,326,291
