"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
8,544365,"Bañuelos, Manny",8,100,0,0,0,0,0,0.059,0.06,0,1,84.2,-25,2159,88.3,88.61,0,6,2,0.29999999999999716,6.54,121,168,134,156,294,320,290
8,471911,"Carrasco, Carlos",8,100,0.333,0,0.333,0.333,0.295,0.296,0.306,1,3,83.9,11.7,2057,92.6,92.6,0,4,4,0.09999999999999432,6.3,121,173,124,152,300,334,310
8,596112,"Stephenson, Robert",8,100,0.5,0,0.5,0.5,0.442,0.645,0.436,1,2,98.1,25.5,2681,89.6,89.74,1,3,5,0.10000000000000853,6.16,122,154,125,152,298,335,304
8,527048,"Pérez, Martín",8,100,0,0,0,0,0,0.088,0.095,0,3,93.7,-3,2020,92.1,91.33,0,3,5,-0.7999999999999972,6,103,147,123,152,300,326,292
8,605507,"Thompson, Zach",8,100,0,0,0,0,0,0.191,0.208,0,2,94.5,-14.5,2331,82.2,82.21,2,7,1,0,6.36,113,170,117,149,289,318,298
8,681217,"Silseth, Chase",8,100,0,0,0,0,0,0.611,0.651,0,1,99.5,6,1596,88,87.32,1,4,4,-0.7000000000000028,6.01,127,154,120,176,290,330,293
8,605483,"Snell, Blake",8,100,0,0,0,0,0.36,0.398,0.082,0,1,71.7,-7,2389,94.1,94.61,1,3,5,0.5,6.76,130,175,128,156,285,316,319
7,622075,"Almonte, Yency",7,100,0,0,0,0,0,0.111,0.12,0,2,80.9,44,2205,91.8,92.86,1,4,3,1.1000000000000085,6.77,124,168,133,154,292,325,299
7,656887,"Reid-Foley, Sean",7,100,0,0,0,0,0,0.047,0.048,0,1,85.6,-28,1849,92.3,93.66,1,4,3,1.4000000000000057,7.04,123,170,106,154,294,327,326
7,677053,"Nardi, Andrew",7,100,,,,,0.689,0.689,,0,0,,,2396,88,88.26,2,3,4,0.29999999999999716,6.76,129,149,154,154,292,319,293
7,640451,"Harvey, Hunter",7,100,0,0,0,0,0,0.164,0.176,0,2,91,14.5,1380,93.5,93.21,0,4,3,-0.29999999999999716,6.16,94,150,139,155,294,305,302
7,628452,"Iglesias, Raisel",7,100,1,3,,4,2.072,1.968,0.951,1,1,107.1,28,1951,91.8,91.76,1,4,3,0,6.24,127,156,145,179,291,331,301
7,502171,"Cobb, Alex",7,100,0,0,0,0,0,0.165,0.154,0,3,88.1,17,1908,91,90.17,0,4,3,-0.7999999999999972,5.86,110,155,147,150,299,329,304
7,656945,"Scott, Tanner",7,100,0,0,,0,0,0,,0,1,,,2563,96.4,96.49,2,4,3,0.09999999999999432,6.41,129,153,110,154,316,330,309
7,669952,"White, Mitch",7,100,0,0,,0,0,0,,0,1,,,2231,87.4,86.91,1,3,4,-0.5,6.23,123,149,148,155,289,332,297
7,665871,"Assad, Javier",7,100,1,0,1,1,0.884,0.556,0.572,3,3,90.9,16.3,1967,88.7,89.21,1,5,2,0.5,6.63,109,151,105,169,303,338,302
7,542947,"Bleier, Richard",7,100,0,0,0,0,0,0.042,0.039,0,1,80.1,-22,2021,83.4,83.69,2,4,3,0.29999999999999716,6.7,121,151,115,155,291,323,296
6,592741,"Shreve, Chasen",6,100,0,0,0,0,0,0.044,0.048,0,2,80.6,-15,2071,87.5,87.5,2,4,2,0,6.42,124,180,118,155,282,331,312
6,606424,"García, Jarlín",6,100,0,0,0,0,0.344,0.489,0.317,0,1,79.5,5,2383,88.6,89.07,0,1,5,0.5,6.52,123,152,117,155,287,325,293
6,650671,"Quijada, José",6,100,0,0,0,0,0,0.007,0.006,0,1,98.1,48,2390,90.2,90.45,0,3,3,0.29999999999999716,6.43,88,156,134,172,287,330,306
6,642152,"Trivino, Lou",6,100,0,0,0,0,0,0.604,0.506,0,1,104.6,18,1915,91.5,91.65,0,4,2,0.20000000000000284,6.33,128,171,154,135,289,333,311
6,502202,"Boxberger, Brad",6,100,0.5,1.5,0,2,1.036,1.056,0.559,1,2,99.2,1.5,2275,89.5,88.52,1,4,2,-1,5.57,127,160,144,154,304,326,299
6,672710,"Contreras, Roansy",6,100,0.5,0,1,0.5,0.442,0.273,0.28,1,2,102.4,3,2453,85.1,85.12,3,5,1,0,6.35,104,168,139,154,277,323,295
6,676879,"Ashby, Aaron",6,100,0.5,0,0.5,0.5,0.442,0.564,0.586,1,2,87.7,2.5,2313,86.5,84.87,0,2,4,-1.5,5.57,129,164,107,155,290,320,293
6,666168,"Thompson, Mason",6,100,,,,,0.689,0.689,,0,0,,,2255,91.9,92.37,1,2,4,0.5,6.57,120,145,118,150,300,309,286
6,545343,"Head, Louis",6,100,0,0,0,0,0,0.097,0.101,0,1,89.5,-24,2465,87.4,87.03,0,5,1,-0.4000000000000057,6.22,117,138,122,149,291,325,300
6,670090,"Mills, Wyatt",6,100,0,0,0,0,0,0.014,0.011,0,1,87.8,38,1913,93.7,94.33,1,4,2,0.5999999999999943,6.72,127,174,124,153,294,324,288
6,573186,"Stroman, Marcus",6,100,0.333,0.333,0.333,0.667,0.42,0.461,0.372,1,3,97,9.7,2251,89.8,89.42,0,4,2,-0.3999999999999915,5.83,109,153,113,180,301,337,310
6,605447,"Romano, Jordan",6,100,0,0,0,0,0,0.226,0.244,0,1,105.4,-15,2094,95.6,97.65,0,2,4,2.1000000000000085,7.42,128,179,130,157,286,327,299
5,434671,"Sánchez, Aníbal",5,100,0.333,0.333,0.333,0.667,0.42,0.53,0.478,1,3,100,20,1661,81.3,81.34,0,4,1,0,6.34,120,177,97,153,302,314,310
5,669920,"Alexander, Jason",5,100,0.5,0,0.333,0.5,0.295,0.406,0.541,1,2,96.3,12,2178,86.1,85.92,0,4,1,-0.19999999999998863,6.3,101,135,108,151,299,323,298
5,623465,"Phillips, Evan",5,100,1,1,1,2,1.261,0.668,0.62,1,1,104.8,15,2486,90.7,90.96,1,3,2,0.29999999999999716,6.48,84,142,112,147,294,319,302
5,472610,"García, Luis",5,100,0,0,,0,0,0,,0,1,,,1649,86.9,87.16,2,2,3,0.29999999999999716,6.52,132,203,136,154,298,340,322
5,664849,"Young, Danny",5,100,1,0,1,1,0.884,0.731,0.803,1,1,65.1,24,2453,80.9,79.78,1,3,2,-1.1000000000000085,5.88,118,136,142,146,294,320,291
5,640448,"Finnegan, Kyle",5,100,1,1,1,2,1.261,1.033,0.774,1,1,114.3,16,1051,89.6,90.2,0,1,4,0.6000000000000085,6.5,88,169,120,150,297,316,320
5,669060,"Wilson, Bryse",5,100,1,0,1,1,0.884,0.289,0.309,1,1,100.5,-4,1727,88.5,88.96,1,2,3,0.5,6.56,87,146,102,146,289,320,300
5,640462,"Puk, A.J.",5,100,0,0,0,0,0,0.785,0.729,0,1,109.3,14,2259,93.9,94.3,1,2,3,0.3999999999999915,6.76,86,134,147,129,284,329,312
5,503285,"O'Day, Darren",5,100,0,0,,0,0,0,,0,1,,,2372,82.3,82.6,2,4,1,0.29999999999999716,6.56,86,141,122,149,291,335,299
5,571901,"Loup, Aaron",5,100,,,,,0.689,0.689,,0,0,,,2068,93.4,92.58,0,0,5,-0.8000000000000114,5.92,127,154,111,171,287,333,302
5,670955,"Uceta, Edwin",5,100,0,0,0,0,0,1.667,0.8,0,1,110.1,35,2202,91.5,90.82,1,2,3,-0.7000000000000028,6.1,86,141,145,150,296,322,295
5,608348,"Kelly, Carson",5,100,,,,,0.689,0.689,,0,0,,,1190,53.8,52.26,0,0,5,-1.5,4.94,127,179,147,175,308,327,306
5,667297,"Nance, Tommy",5,100,0.5,0.5,0.5,1,0.631,0.285,0.301,1,2,96.1,33,2712,89.3,88.46,0,3,2,-0.7999999999999972,6.12,127,175,132,156,312,348,316
5,628711,"Urías, Julio",5,100,0.667,1.333,0.5,2,1.111,0.934,0.624,2,3,85.6,19,2767,86.1,85.36,1,4,1,-0.6999999999999886,5.8,123,162,144,153,287,319,299
5,594580,"Moll, Sam",5,100,0,0,,0,0,0,,0,1,,,3050,84.3,81.68,1,4,1,-2.5999999999999943,4.7,86,164,150,130,285,326,315
4,681885,"Lee, Evan",4,100,,,,,0.689,0.689,,0,0,,,2427,90.5,89.83,0,0,4,-0.6000000000000085,6.05,128,180,120,155,303,317,313
4,643511,"Rogers, Tyler",4,100,0,0,0,0,0,0.158,0.156,0,1,41.1,-90,2062,81.6,80.08,2,3,1,-1.5,5.9,88,145,109,148,282,338,305
4,664092,"Poppen, Sean",4,100,1,0,1,1,0.884,0.224,0.249,1,1,70.9,10,2092,86.6,86.33,0,1,3,-0.29999999999999716,6.2,121,150,114,155,294,327,298
4,608718,"Suter, Brent",4,100,0,0,0,0,0,0.169,0.181,0,1,86,-3,2085,85.9,87.5,0,2,2,1.5999999999999943,7.3,126,155,123,152,294,319,299
